City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,qaqortoq,60.7167,-46.0333,-5.65,93,100,1.77,GL,1701040967
148,kendari,-3.945,122.4989,26.06,86,84,0.78,ID,1701040967
149,badger,64.8,-147.5333,-3.69,88,100,1.54,US,1701040967
150,harar,9.3094,42.1258,12.87,39,23,2.47,ET,1701040967
151,kingston,17.997,-76.7936,28.53,76,20,9.26,JM,1701040967
152,ta`u,-14.2336,-169.5144,27.85,84,67,8.23,AS,1701040968
153,galveston,29.3669,-94.9669,14.47,58,92,3.13,US,1701040968
154,whakatane,-37.9585,176.9854,24.93,50,0,3.27,NZ,1701040968
155,grande prairie,55.1667,-118.8027,2.1,69,40,1.03,CA,1701040968
156,milton,34.1322,-84.3007,8.0,85,100,1.71,US,1701040968
157,sosnovka,56.255,51.2842,0.51,87,97,3.9,RU,1701040968
158,margate,51.3813,1.3862,9.61,94,100,4.47,GB,1701040968
159,port alfred,-33.5906,26.891,19.54,97,16,1.57,ZA,1701040968
160,sitka,57.0531,-135.33,8.94,81,100,6.17,US,1701040969
161,ilulissat,69.2167,-51.1,-0.99,93,100,2.06,GL,1701040675
162,pacific grove,36.6177,-121.9166,18.47,38,0,2.57,US,1701040969
163,island harbour,50.724,-1.2758,11.2,93,100,1.34,GB,1701040969
164,san patricio,28.017,-97.5169,16.05,50,100,6.95,US,1701040969
165,rasskazovo,52.6714,41.9033,3.64,92,100,7.29,RU,1701040969
166,sur,22.5667,59.5289,23.74,59,8,1.37,OM,1701040969
167,katsuren-haebaru,26.3369,127.8719,23.01,90,75,1.54,JP,1701040969
168,xinyuan,37.3,99.0,-9.1,33,57,3.19,CN,1701040970
169,east london,-33.0153,27.9116,21.13,95,37,3.71,ZA,1701040970
170,taoudenni,22.6783,-3.9836,18.44,19,38,4.01,ML,1701040970
171,ust'-ilimsk,58.0006,102.6619,-20.95,95,77,1.26,RU,1701040970
172,arawa,-6.2132,155.5367,30.22,70,93,1.73,PG,1701040970
173,castillos,-34.1667,-53.8333,17.12,87,3,4.54,UY,1701040971
174,isangel,-19.55,169.2667,28.06,61,75,2.57,VU,1701040971
175,merizo village,13.2658,144.6691,29.99,85,68,8.45,GU,1701040971
176,san clemente del tuyu,-36.3569,-56.7235,18.88,83,0,7.88,AR,1701040971
177,punta arenas,-53.15,-70.9167,10.06,53,20,9.26,CL,1701040971
178,atafu village,-8.5421,-172.5159,29.67,75,60,5.9,TK,1701040971
179,meizhou,24.2977,116.1072,14.44,88,0,0.93,CN,1701040971
180,shizuishan,39.2333,106.7694,0.73,49,1,3.95,CN,1701040971
